ListSizes,TestResult
0,0
1000,6
2000,2
3000,3
4000,3
5000,10
6000,5
7000,12
8000,7
9000,15
10000,15
11000,16
12000,20
13000,20
14000,24
15000,25
16000,23
17000,32
18000,30
19000,27
20000,32
21000,33
22000,34
23000,35
24000,42
25000,38
26000,46
27000,40
28000,46
29000,47
30000,48
31000,55
32000,56
33000,61
34000,60
35000,72
36000,70
37000,74
38000,75
39000,85
40000,83
41000,88
42000,81
43000,84
44000,82
45000,88
46000,95
47000,90
48000,93
49000,96
50000,94
51000,96
52000,98
53000,107
54000,100
55000,102
56000,103
57000,111
58000,101
59000,107
60000,117
61000,115
62000,114
63000,114
64000,119
65000,123
66000,120
67000,126
68000,127
69000,125
70000,133
71000,146
72000,156
73000,140
74000,136
75000,147
76000,142
77000,160
78000,150
79000,162
80000,153
81000,158
82000,162
83000,160
84000,168
85000,181
86000,184
87000,180
88000,183
89000,185
90000,188
91000,186
92000,197
93000,188
94000,192
95000,212
96000,200
97000,206
98000,215
99000,222
100000,208
101000,215
102000,219
103000,221
104000,227
105000,234
106000,227
107000,229
108000,257
109000,266
110000,249
111000,250
112000,274
113000,275
114000,289
115000,267
116000,284
117000,282
118000,273
119000,271
120000,285
121000,287
122000,318
123000,269
124000,299
125000,288
126000,271
127000,314
128000,298
129000,296
130000,326
131000,335
132000,365
133000,335
134000,335
135000,314
136000,343
137000,414
138000,420
139000,450
140000,367
141000,349
142000,387
143000,408
144000,432
145000,397
146000,357
147000,352
148000,331
149000,353
150000,362
151000,355
152000,365
153000,366
154000,374
155000,375
156000,397
157000,393
158000,379
159000,407
160000,349
161000,367
162000,376
163000,384
164000,388
165000,407
166000,394
167000,439
168000,423
169000,402
170000,387
171000,391
172000,396
173000,406
174000,405
175000,401
176000,407
177000,410
178000,433
179000,428
180000,463
181000,456
182000,477
183000,478
184000,466
185000,453
186000,444
187000,454
188000,440
189000,458
190000,445
191000,447
192000,468
193000,462
194000,471
195000,481
196000,491
197000,467
198000,469
199000,467
