K,TestResult
0,451
1000,449
2000,448
3000,448
4000,468
5000,450
6000,465
7000,447
8000,463
9000,471
10000,468
11000,448
12000,451
13000,456
14000,459
15000,468
16000,455
17000,459
18000,466
19000,471
20000,455
21000,454
22000,460
23000,471
24000,491
25000,479
26000,456
27000,468
28000,490
29000,460
30000,462
31000,495
32000,475
33000,482
34000,488
35000,448
36000,465
37000,479
38000,480
39000,465
40000,474
41000,460
42000,466
43000,481
44000,461
45000,464
46000,453
47000,468
48000,454
49000,458
50000,455
51000,446
52000,454
53000,501
54000,439
55000,449
56000,441
57000,457
58000,475
59000,468
60000,462
61000,439
62000,501
63000,450
64000,489
65000,474
66000,468
67000,484
68000,470
69000,456
70000,467
71000,472
72000,468
73000,454
74000,463
75000,466
76000,472
77000,480
78000,453
79000,460
80000,496
81000,464
82000,457
83000,450
84000,466
85000,481
86000,470
87000,454
88000,462
89000,456
90000,455
91000,460
92000,456
93000,456
94000,475
95000,481
96000,469
97000,467
98000,471
99000,490
100000,454
101000,460
102000,464
103000,468
104000,467
105000,439
106000,471
107000,474
108000,477
109000,472
110000,456
111000,456
112000,470
113000,449
114000,463
115000,459
116000,461
117000,458
118000,462
119000,477
120000,487
121000,502
122000,487
123000,492
124000,503
125000,472
126000,508
127000,506
128000,480
129000,481
130000,505
131000,504
132000,489
133000,484
134000,501
135000,539
136000,503
137000,518
138000,510
139000,496
140000,478
141000,518
142000,478
143000,531
144000,492
145000,469
146000,464
147000,469
148000,486
149000,528
150000,470
151000,470
152000,482
153000,477
154000,495
155000,501
156000,502
157000,478
158000,503
159000,521
160000,483
161000,516
162000,512
163000,500
164000,484
165000,501
166000,503
167000,489
168000,487
169000,493
170000,496
171000,488
172000,507
173000,488
174000,486
175000,480
176000,487
177000,527
178000,487
179000,507
180000,466
181000,477
182000,493
183000,498
184000,484
185000,496
186000,484
187000,476
188000,532
189000,492
190000,514
191000,477
192000,525
193000,501
194000,499
195000,513
196000,499
197000,512
198000,468
199000,483
